;name;address;post_code;addressLocality;addressCountry;e-mail;site;telephone;location;e_mail
0;A BISTO DE NAS SARL;Allee de Riols Zac Agen SUD;47000;Agen;France;;http://www.abistodenas.com;+33 524 292202;Hall 5 / B08;
1;A&D Serviços e Investimentos LDA;Rua de Arufe, 530 Gosende;4640-342;Loivos da Ribeira - Baião;Portugal;;http://www.andwines.pt;+351 229 41937-8;Hall 13 / C70 – G70;mailto:info@andwines.pt
2;A&D Serviços e Investimentos LDA;Rua de Arufe, 530 Gosende;4640-342;Loivos da Ribeira - Baião;Portugal;;http://www.andwines.pt;+351 229 41937-8;Hall 13 / C70 – G70;mailto:info@andwines.pt
3;a-tec Auszeichnungstechnik Inh. Jessica Rebitzky;Im Winkel 6;31535;Neustadt;Germany;;http://www.a-tec-direkt.de;+49 5032 3943;Hall 4 / C03;mailto:infoo@a-tec-direkt.de
4;A-Wines California Association;2, Crow Canyon Court Ste 208;94583;San Ramon, CA;USA;;http://www.awines.eu;+1 925 2150606;Hall 9 / A100;mailto:info@awines.us
5;A. de Fussigny;11-17, Rue Des Gabariers;16100;Cognac;France;;http://www.adefussigny.com;+33 5 45366136;Hall 11 / C81;mailto:bonjour@adefussigny.com
6;A. de Fussigny;11-17, Rue Des Gabariers;16100;Cognac;France;;http://www.adefussigny.com;+33 5 45366136;Hall 11 / C81;mailto:bonjour@adefussigny.com
7;A.C. Marketing & Trade SRL;Via Cavour 23/c;39100;Bolzano;Italy;;http://www.acmarketingtrade.com;+39 0422 230559;Hall 16 / D13;mailto:info@acmarketingtrade.com
8;A.P.V.S.A Ltd Association pour la promotion vins et spiritueux en Amérique;414, rue McGill Bureau 202;H2Y 2G1;Montreal, QC;Canada;;http://www.apvsa.ca;+1 514 8449993-222;Hall 4 / F24;mailto:info@apvsa.ca
9;Aaldering Vineyards & Wines (PTY) LTD;Devon Valley Road - Devon Valley;7600;Stellenbosch;South Africa;;http://www.aaldering.co.za;+27 21 8652495;Hall 12 / D23;mailto:estate@aaldering.co.za
10;Aaldering Vineyards & Wines (PTY) LTD;Devon Valley Road - Devon Valley;7600;Stellenbosch;South Africa;;http://www.aaldering.co.za;+27 21 8652495;Hall 12 / D23;mailto:estate@aaldering.co.za
11;Abadía de Acón S.L.;Calle Miranda do Douro 4, Bajo;09400;Aranda de Duero (Burgos);Spain;;http://www.abadiadeacon.com;+34 947 509292;Hall 14 / G40-29;mailto:export@abadiadeacon.com
12;Abadía de Acón S.L.;Calle Miranda do Douro 4, Bajo;09400;Aranda de Duero (Burgos);Spain;;http://www.abadiadeacon.com;+34 947 509292;Hall 14 / G40-29;mailto:export@abadiadeacon.com
13;Abadia Retuerta S.A.;N-122, Km 332;47340;Sardon de Duero (Valladolid);Spain;;http://www.abadia-retuerta.com;+34 983 680286;Hall 14 / G80;mailto:info@abadia-retuerta.es
14;Abadia Retuerta S.A.;N-122, Km 332;47340;Sardon de Duero (Valladolid);Spain;;http://www.abadia-retuerta.com;+34 983 680286;Hall 14 / G80;mailto:info@abadia-retuerta.es
15;;Kalejkrami, Slampes Parish;LV 3133;Tukuma District;Latvia;;http://www.abavas.lv;+371 295 53558;Hall 7 / D30;mailto:export@abavas.lv
16;;Kalejkrami, Slampes Parish;LV 3133;Tukuma District;Latvia;;http://www.abavas.lv;+371 295 53558;Hall 7 / D30;mailto:export@abavas.lv
17;Abbona Marziano e.C. s.s. Az. Agr.;Borgata San Luigi, 40;12063;Dogliani (CN);Italy;;http://www.abbona.com;+39 0173 721317;Hall 15 / A61;mailto:abbona@abbona.com
18;Encostas do Alqueva Comercial, S.A;Zona Industrial de Mourão;7240-248;Mourão;Portugal;;http://www.abegoaria.pt;+351 7240248 919695121;Hall 13 / A10 – H20;mailto:soniaagferreira@gmail.com
19;ABK6 - Single Estate Cognac DOMAINES FRANCIS ABECASSIS SNC du Maine Drilhon;Domaine de Chez Maillard 1, Route du Ménager;16440;Claix;France;;http://www.abecassis-cognac.com;+33 5 45663572;Hall 10 / C20;mailto:export@abk6-cognac.com
20;ABK6 - Single Estate Cognac DOMAINES FRANCIS ABECASSIS SNC du Maine Drilhon;Domaine de Chez Maillard 1, Route du Ménager;16440;Claix;France;;http://www.abecassis-cognac.com;+33 5 45663572;Hall 11 / E65;mailto:export@abk6-cognac.com
21;Accolade Wines Limited;Accolade Park Kings Weston Lane - Avonmouth;BS11 9FG;Bristol;United Kingdom of Great Britain and Northern Ireland;;http://www.accoladewines.com;+44 1483 690000;Hall 12 / A02;mailto:customers.awines@accoladewines.com
22;Accolade Wines Limited;Accolade Park Kings Weston Lane - Avonmouth;BS11 9FG;Bristol;United Kingdom of Great Britain and Northern Ireland;;http://www.accoladewines.com;+44 1483 690000;Hall 12 / A02;mailto:customers.awines@accoladewines.com
23;Azienda Agricola Accordini Stefano di Accordini Giacomo e Fillippi Eleonora Società Agricola s.s.;Loc. Camparol, 10 Fraz. Cavalo;37022;Fumane (VR);Italy;;http://www.accordinistefano.it;+39 045 7760138;Hall 16 / H81;mailto:info@accordinistefano.com
24;Achaia Clauss S.A.;Petroto Patras;26500;Patras;Greece;;http://www.achaiaclauss.gr;+30 2610 580100;Hall 17 / H15;mailto:events@clauss.gr
25;Achaval Ferrer S.A.;2601, Cobos St., Perdriel;5509;Lujan de Cuyo, Mendoza;Argentina;;http://www.achaval-ferrer.com;+54 9261 5073049;Hall 12 / A62 – A70;
26;ACHILLE VIGLIONE SAS;Via Alba 13/B;12050;Serralunga D'Alba;Italy;;http://www.achilleviglione.com;+39 0173 613021;Hall 15 / A61;mailto:info@achilleviglione.com
